timestamp,channel,bufferSize,G,E,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90,phi_91,phi_92,phi_93,phi_94,phi_95,phi_96,phi_97,phi_98,phi_99,phi_100
841911493127279,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841911535330772,0,1024,0.015740886549825885,0.00024777550937448947,13.015458041114044,12.989873683277867,12.913345287378087,12.786297873990721,12.609354642060545,12.383334024814069,12.109245979369959,11.788287527407059,11.421837565838457,11.011450969666411,10.558852012565044,10.065927133435398,9.5347170779485122,8.9674084485079852,8.3663246984748429,7.7339166063130795,7.072752269094412,6.3855066579619244,5.6749507750535377,4.9439404584495295,4.1954048799180272,3.432334780377905,2.6577704933584094,1.8747898015883828,1.0864956768340284,0.29600395156774378,-0.49356902833469884,-1.2791187207187582,-2.0575646247214485,-2.8258623924242108,-3.5810157643980722,-4.3200882837525922,-5.0402147428973043,-5.7386123163038247,-6.4125913388445497,-7.0595656856697655,-7.6770627145745385,-8.262732731805734,-8.8143579456913432,-9.3298608730116186,-9.8073121679216833,-10.244937842400653,-10.641125850711072,-10.994432016070398,-11.303585274787272,-11.567492220901991,-11.785240934515619,-11.956104080487819,-12.079541267496472,-12.15520066017374,-12.182919839498908,-12.16272591083176,-12.094834860721539,-11.979650167440255,-11.817760672707447,-11.609937725241663,-11.35713160952896,-11.06046727590099,-10.721239391080884,-10.340906730524834,-9.9210859368785336,-9.463544671363513,-8.9701941861944459,-8.4430813505716298,-7.8843801622202214,-7.2963827800633707,-6.6814901155790665,-6.042202020350885,-5.3811071115561173,-4.7008722753933316,-4.0042318912074446,-3.2939768211900105,-2.5729432087640633,-1.8440011314698479,-1.1100431527495549,-0.37397282007660287,0.36130684606347641,1.0929048263072934,1.8179534941416224,2.5336198797006917,3.2371167621383492,3.9257135467351665,4.5967468843515187,5.2476309910688412,5.8758676295001733,6.479055711492224,7.0549004863587816,7.6012222787217318,8.115964743815292,8.5972026076315391,9.0431488633268007,9.4521613971594913,9.8227490196498941,10.153576878677777,10.443471237194361,10.691423596423144,10.896594150963342,11.058314564810658,11.176090058808246,11.2496008036563,11.278702614984633
841911555358715,0,1024,8.7604661152081332e-06,7.674576655570988e-11,26.062480371919804,26.0112496533986,25.857759460016347,25.602614879954242,25.246821735473812,24.791782606919021,24.239291288401098,23.59152569714233,22.851039264583818,22.0207508433793,21.103933170279468,20.104199930632717,19.025491475770213,17.872059249878856,16.648448988079824,15.359482752294987,14.010239876088544,12.606036893987399,11.152406534806628,9.655075862207454,8.1199436490894747,6.5530570754467226,4.9605878419909191,3.3488077941506846,1.7240641529862757,0.09275445110680075,-1.5386987271662746,-3.1638731013812813,-4.7763720459099259,-6.3698498359298696,-7.9380366885241305,-9.4747634998113472,-10.973986180241472,-12.429809491798643,-13.836510292843577,-15.188560098690365,-16.480646868741733,-17.707695934087326,-18.864889982892898,-19.947688024656511,-20.951843258473993,-21.87341977481017,-22.708808024913935,-23.454738996911619,-24.108297042752145,-24.666931305537968,-25.128465702333948,-25.491107423281296,-25.753453913735154,-25.914498312161765,-25.973633322663083,-25.930653507200187,-25.785755988858966,-25.539539563799742,-25.193002225837038,-24.747537113892527,-24.204926898804469,-23.567336632162245,-22.837305085922633,-22.017734617535481,-21.111879601142348,-20.123333471079391,-19.056014429403781,-17.914149874439644,-16.70225961238976,-15.425137918862452,-14.087834521699019,-12.695634580737257,-11.254037744094944,-9.7687363641920459,-8.2455929600270021,-6.6906170151819913,-5.1099412036288889,-3.5097971376431452,-1.8964907339900952,-0.27637729602432265,1.3441635895691093,2.9587532419672127,4.5610390616101304,6.144719592180679,7.7035693700220023,9.2314634627377323,10.722401599990688,12.170531801174915,13.57017340667028,14.915839421793128,16.20225808532086,17.424393577580478,18.577465786539605,19.656969054109467,20.65868982894532,21.578723156400631,22.413487940928931,23.159740921126385,23.81458930273774,24.375502000290822,24.840319443569037,25.207261910834294,25.474936356575505,25.642341707536314,25.708872606862524
841911576779502,0,1024,nan,-2.4301041616178609e-10,26.062480394746675,26.011249676176767,25.857759482648422,25.602614902343255,25.246821757524028,24.791782628536065,24.239291309492256,23.591525717617184,22.851039284354208,22.020750862359904,21.103933188388151,20.10419994779064,19.025491491902233,17.872059264913908,16.648449001951025,15.359482764939774,14.010239887449131,12.606036904010814,11.152406543444833,9.6550758694176366,8.1199436548340511,6.5530570796935708,4.9605878447133218,3.3488077953274495,1.724064152601809,0.092754449151109225,-1.5386987306975872,-3.1638731064870229,-4.7763720525833673,-6.3698498441587779,-7.9380366982908228,-9.4747635110928083,-10.973986193009441,-12.429809506019859,-13.836510308479648,-15.188560115698079,-16.480646887073256,-17.707695953690429,-18.864890003710869,-19.947688046628588,-20.951843281535499,-21.873419798892694,-22.708808049945691,-23.454739022817417,-24.108297069453943,-24.666931332954931,-25.128465730382654,-25.491107451876019,-25.753453942788106,-25.914498341583645,-25.973633352362846,-25.930653537085522,-25.785756018836796,-25.539539593775903,-25.193002255717154,-24.747537143581962,-24.204926928208437,-23.567336661186488,-22.837305114473313,-22.017734645519532,-21.111879628467719,-20.123333497655178,-19.056014455140936,-17.91414989925055,-16.702259636188945,-15.425137941566472,-14.087834543227048,-12.695634601010948,-11.254037763038818,-9.7687363817336692,-8.2455929760972442,-6.6906170297151624,-5.1099412165628557,-3.5097971489196818,-1.8964907435549512,-0.27637730382739489,1.3441635835735757,2.9587532378204484,4.5610390593487553,6.1447195918364947,7.703569371621918,9.2314634663035555,10.722401605539,12.17053180871711,13.570173416212233,14.91583943333525,16.202258098857971,17.424393593101769,18.577465804028428,19.656969073543387,20.65868985029627,21.578723179634395,22.413487966005441,23.159740947999982,23.814589331356526,24.375502030597055,24.840319475499221,25.2072619443192,25.474936391540069,25.642341743899749,25.708872644538744
841911585939849,0,1024,nan,-3.6660522260410451e-10,26.062480335483944,26.011249617033045,25.857759423860852,25.602614844148107,25.246821700154737,24.791782572222626,24.239291254460547,23.591525664087392,22.851039232540511,22.020750812469213,21.103933140619322,20.104199902333665,19.025491448937117,17.87205922461013,16.648448964466745,15.359482730421265,14.010239856029742,12.60603687581059,11.152406518570062,9.6550758479600525,8.1199436368705857,6.5530570652859144,4.9605878339076774,3.3488077881541614,1.7240641490752524,0.092754449269551745,-1.5386987269520258,-3.1638730991483519,-4.7763720417015998,-6.369849829799807,-7.9380366805361229,-9.4747634900391624,-10.973986168768574,-12.429809478717859,-13.836510278256657,-15.188560082707607,-16.480646851481325,-17.707695915675171,-18.864889963461632,-19.9476880043451,-20.951843237426843,-21.873419753176758,-22.708808002847782,-23.454738974569477,-24.108297020293328,-24.666931283123557,-25.128465680125593,-25.491107401440779,-25.753453892422915,-25.914498291536848,-25.973633302881222,-25.930653488413597,-25.785755971215231,-25.539539547440679,-25.193002210898158,-24.747537100502075,-24.204926887082443,-23.567336622219624,-22.837305077860538,-22.01773461144488,-21.111879597102419,-20.123333469157956,-19.056014429655928,-17.914149876907622,-16.702259617102204,-15.425137925834083,-14.087834530930518,-12.695634592214406,-11.254037757789053,-9.7687363800594209,-8.2455929780091104,-6.6906170352053485,-5.1099412256052696,-3.5097971614697743,-1.8964907595498317,-0.27637732318611735,1.3441635609498168,2.9587532120479292,4.5610390305607629,6.1447195601827538,7.7035693372680401,9.2314634294302476,10.722401566341357,12.17053176740362,13.570173373003957,14.915839388464862,16.202258052568475,17.424393545645422,18.577465755665855,19.656969024541901,20.658689800928727,21.578723130177998,22.413487916740376,23.159740899207666,23.814589283318718,24.375501983594109,24.840319429808684,25.207261900214338,25.474936349288708,25.642341703762529,25.708872606767844
841911609150785,0,1024,0.00016426348155833896,2.6982491373666769e-08,26.06248029049409,26.011249572135103,25.857759379238235,25.602614799982913,25.246821656627223,24.79178252951046,24.239291212737488,23.591525623523417,22.851039193300252,22.020750774711537,21.103933104496594,20.104199867990978,19.025491416511777,17.87205919423074,16.648448936252695,15.359482704482247,14.010239832465054,12.606036854708695,11.15240650000808,9.6550758320034031,8.1199436235725937,6.5530570546875184,4.9605878260370622,3.3488077830267664,1.7240641466933881,0.092754449622484816,-1.538698723888172,-3.1638730934105213,-4.7763720333397401,-6.3698498188766663,-7.9380366671270925,-9.4747634742318834,-10.97398615066262,-12.429809458424447,-13.836510255897929,-15.18856005841633,-16.480646825400285,-17.707695887956366,-18.864889934265463,-19.947687973840193,-20.951843205788805,-21.873419720587282,-22.708807969494117,-23.454738940643239,-24.108296985989622,-24.666931248640019,-25.128465645661645,-25.491107367196179,-25.753453858597055,-25.91449825832753,-25.973633270483862,-25.930653457019851,-25.785755941012475,-25.539539518610308,-25.193002183615256,-24.747537074934055,-24.204926863388074,-23.567336600548384,-22.837305058351607,-22.017734594226035,-21.111879582289873,-20.123333456854748,-19.056014419952241,-17.914149869879267,-16.702259612810622,-15.425137924325611,-14.087834532236,-12.695634596349059,-11.254037764751862,-9.7687363898330837,-8.2455929905600964,-6.6906170504836568,-5.1099412435445588,-3.509797181987504,-1.8964907825475303,-0.27637734854965285,1.3441635333498114,2.9587531823555895,4.5610389989344071,6.1447195267942476,7.7035693023020713,9.2314633930835157,10.722401528821683,12.17053172892899,13.570173333801613,14.915839348769985,16.202258012623261,17.42439350569796,18.57746571596865,19.656968985350638,20.658689762501105,21.578723092772425,22.413487880614216,23.159740864616403,23.814589250513979,24.37550195282282,24.84031940131117,25.207261874223519,25.474936326027894,25.642341683444929,25.708872589594868
841911632364272,0,1024,nan,-4.6246124741384355e-10,26.062480269171385,26.011249550848028,25.857759358058068,25.602614778980513,25.246821635872703,24.791782509073069,24.239291192685101,23.591525603922477,22.851039174215376,22.020750756205089,21.103933086628448,20.104199850818564,19.025491400089162,17.872059178608794,16.648448921478597,15.359482690599425,14.010239819512613,12.606036842721435,11.152406489016075,9.6550758220320141,8.1199436146420307,6.5530570468127536,4.9605878192277526,3.3488077772869542,1.7240641420216209,0.092754446011529088,-1.5386987264512539,-3.163873094944432,-4.7763720338689248,-6.3698498184312706,-7.9380366657428709,-9.4747634719501264,-10.973986147529967,-12.429809454492675,-13.836510251223912,-15.188560053061588,-16.480646819430806,-17.707695881442191,-18.864889927280732,-19.94768796646223,-20.951843198097961,-21.873419712666703,-22.708807961428839,-23.454738932520396,-24.108296977897254,-24.66693124066693,-25.128465637896809,-25.491107359728144,-25.753453851513424,-25.914498251714448,-25.973633264425363,-25.930653451597355,-25.785755936304085,-25.539539514690446,-25.193002180554071,-24.747537072796664,-24.204926862234281,-23.567336600432082,-22.83730505932029,-22.017734596320263,-21.111879585542841,-20.123333461292088,-19.056014425591382,-17.91414987672924,-16.702259620871811,-15.425137933589353,-14.087834542684469,-12.695634607955089,-11.254037777478892,-9.7687364036351756,-8.2455930053816484,-6.6906170662597368,-5.1099412602008689,-3.5097971994406243,-1.89649080070512,-0.27637736731072005,1.3441635140945618,2.9587531627233612,4.5610389790498509,6.1447195067889533,7.7035692823140076,9.231463373256398,10.722401509304403,12.170531709874748,13.570173315367285,14.915839331115281,16.202257995909893,17.424393490088708,18.577465701626547,19.656968972438101,20.65868975117883,21.578723083198341,22.413487872942795,23.159740858997573,23.814589247091867,24.375501951735082,24.840319402687928,25.207261878186202,25.474936332688479,25.64234169290506,25.708872601944702
841911655572538,0,1024,nan,-1.0167722029812548e-11,26.062480345071052,26.011249626594804,25.857759433347056,25.602614853508509,25.246821709339464,24.791782581182332,24.239291263146118,23.591525672450611,22.851039240533456,22.020750820044359,21.103933147729492,20.104199908932067,19.025491454977221,17.872059230045494,16.648448969250779,15.35948273450718,14.010239859370429,12.606036878358479,11.152406520276754,9.655075848776498,8.119943636746747,6.5530570641706261,4.9605878317485796,3.3488077848976303,1.724064144666273,0.092754443651697369,-1.538698733836614,-3.1638731073589241,-4.7763720512988019,-6.369849840845526,-7.9380366930933786,-9.4747635041719622,-10.973986184541564,-12.42980949619626,-13.836510297505848,-15.18856010379273,-16.480646874466998,-17.707695940624856,-18.864889990437263,-19.947688033406653,-20.951843268631556,-21.873419786578687,-22.708808038496962,-23.45473901251145,-24.108297060568287,-24.666931325765528,-25.128465725162069,-25.491107448891452,-25.753453942299309,-25.914498343841103,-25.97363335760587,-25.930653545540174,-25.785756030713966,-25.539539609269472,-25.193002275002289,-24.747537166812851,-24.204926955517085,-23.567336692680598,-22.837305150234943,-22.01773468560377,-21.111879672900965,-20.123333546434306,-19.056014508231669,-17.914149956587263,-16.702259697673195,-15.425138007066849,-14.087834612578419,-12.695634674014261,-11.254037839461217,-9.7687364613083645,-8.245593058523955,-6.6906171146606574,-5.1099413036616577,-3.5097972377749511,-1.8964908337396948,-0.27637739488580798,1.3441634921245591,2.958753146489391,4.5610389686677282,6.1447195023589183,7.7035692839202303,9.2314633809666731,10.72240152316963,12.170531729928761,13.570173341626438,14.915839363578204,16.2022580345573,17.424393534883105,18.577465752512136,19.656969029340626,20.65868981400558,21.578723151838073,22.413487947265743,23.159740938855158,23.81458933231761,24.37550204214401,24.840319498077079,25.207261978334714,25.474936437358245,25.642341801840416,25.70887271487349
841911678818592,0,1024,1.3209427918079531e-05,1.7448898592293896e-10,26.06248018501697,26.011249466856615,25.857759274555125,25.602614696289486,25.246821554313684,24.791782428961117,24.239291114329564,23.591525527624878,22.851039100268267,22.02075068489102,21.103933018218122,20.104199785569801,19.025491338245718,17.872059120398884,16.648448867113775,15.359482640273484,14.010239773400642,12.606036800978773,11.152406451777205,9.6550757894099331,8.1199435867275174,6.5530570236736603,4.9605878009085256,3.3488077638080962,1.7240641333794653,0.092754442178020466,-1.5386987255286644,-3.1638730893427445,-4.776372023689432,-6.3698498037993083,-7.93803664680736,-9.4747634488830634,-10.973986120525799,-12.429809423767404,-13.836510217014329,-15.18856001562416,-16.480646779040491,-17.707695838391377,-18.864889881877549,-19.947687919029264,-20.951843148970799,-21.87341966219201,-22.708807909962744,-23.454738880426437,-24.108296925544991,-24.666931188429494,-25.128465586149002,-25.491107308844587,-25.753453801866268,-25.914498203671165,-25.973633218346873,-25.930653407835973,-25.785755895200875,-25.53953947657396,-25.193002145737243,-24.747537041575832,-24.204926834886667,-23.567336577213915,-22.837305040465324,-22.017734582037825,-21.111879576016232,-20.123333456677098,-19.056014426014855,-17.914149882288058,-16.702259631631449,-15.425137949583318,-14.087834563913223,-12.695634634385444,-11.254037809043714,-9.768736440232864,-8.2455930468762038,-6.6906171124808251,-5.109941310944059,-3.5097972544678488,-1.8964908597453283,-0.27637743006072862,1.3441634479690159,2.9587530935864024,4.5610389072940674,6.1447194328337611,7.703569206603901,9.2314632962590419,10.722401431508384,12.170531631787446,13.570173237512437,14.91583925403029,16.202257920143442,17.424393416197461,18.577465630172714,19.656968903986193,20.658689686292597,21.578723022437885,22.413487816861036,23.159740808136981,23.81458920198175,24.375501912887778,24.840319370595857,25.207261853318659,25.474936315488577,25.642341683786444,25.708872601288682
841911702019454,0,1024,nan,-1.7684968037455358e-11,26.062480319272829,26.011249600843129,25.857759407734861,25.60261482812809,25.246821684282164,24.791782556537786,24.239291239001908,23.591525648891771,22.851039217641826,22.020750797898099,21.103933126402655,20.104199888493905,19.02549143549167,17.872059211570434,16.648448951837675,15.359482718200836,14.010239844207899,12.606036864368953,11.152406507481109,9.6550758371867964,8.1199436263658473,6.5530570549919132,4.9605878237556542,3.3488077780641028,1.7240641389555889,0.092754439017007959,-1.538698737452455,-3.163873110023375,-4.7763720530894727,-6.3698498418501117,-7.938036693409372,-9.4747635039062779,-10.973986183810297,-12.429809495124077,-13.836510296225416,-15.188560102444219,-16.480646873197415,-17.707695939587101,-18.864889989789425,-19.947688033311096,-20.951843269253928,-21.873419788086746,-22.708808041059857,-23.454739016298195,-24.108297065746832,-24.66693133250142,-25.128465733617233,-25.491107459222984,-25.753453954657985,-25.914498358370221,-25.973633374440052,-25.930653564803755,-25.785756052519957,-25.539539633718281,-25.193002302180158,-24.747537196791033,-24.20492698835065,-23.567336728407007,-22.837305188873401,-22.01773472715411,-21.111879717342568,-20.123333593725683,-19.056014558309545,-17.914150009366054,-16.702259753044281,-15.42513806489875,-14.087834672716079,-12.695634736279199,-11.254037903651462,-9.7687365271986444,-8.2455931258660424,-6.6906171831836927,-5.1099413730729646,-3.5097973077606524,-1.8964909039656435,-0.27637746499867627,1.3441634224961001,2.9587530777333391,4.5610389011872083,6.1447194365706288,7.7035692202526072,9.2314633198580172,10.722401465066099,12.170531675282307,13.57017329089237,14.915839317213104,16.202257993016413,17.424393498617889,18.577465721967712,19.656969004953282,20.658689796199859,21.578723141024181,22.413487943836955,23.159740943185092,23.814589344757234,24.375502063019315,24.840319527686329,25.207262016945997,25.474936485206747,25.642341859126297,25.708872781759318
